Date,Visitor,AG,Home,HG
2018-12-09,Philadelphia Flyers,1,Winnipeg Jets,7
2018-12-10,Los Angeles Kings,1,Detroit Red Wings,3
2018-12-10,Pittsburgh Penguins,2,New York Islanders,1
2018-12-10,New Jersey Devils,2,San Jose Sharks,5
2018-12-10,New York Rangers,3,Tampa Bay Lightning,6
2018-12-11,Arizona Coyotes,3,Boston Bruins,4
2018-12-11,Los Angeles Kings,3,Buffalo Sabres,4
2018-12-11,Toronto Maple Leafs,4,Carolina Hurricanes,1
2018-12-11,Vancouver Canucks,3,Columbus Blue Jackets,2
2018-12-11,Edmonton Oilers,6,Colorado Avalanche,4
2018-12-11,Montreal Canadiens,1,Minnesota Wild,7
2018-12-11,Ottawa Senators,1,Nashville Predators,3
2018-12-11,Florida Panthers,3,St. Louis Blues,4
2018-12-11,Chicago Blackhawks,3,Winnipeg Jets,6
2018-12-11,Detroit Red Wings,2,Washington Capitals,6
2018-12-12,Dallas Stars,3,Anaheim Ducks,6
2018-12-12,Philadelphia Flyers,5,Calgary Flames,6
2018-12-12,Pittsburgh Penguins,3,Chicago Blackhawks,6
2018-12-12,Vegas Golden Knights,3,New York Islanders,2
2018-12-13,Arizona Coyotes,1,Buffalo Sabres,3
2018-12-13,Los Angeles Kings,1,Columbus Blue Jackets,4
2018-12-13,Florida Panthers,1,Minnesota Wild,5
2018-12-13,Carolina Hurricanes,4,Montreal Canadiens,6
2018-12-13,Vancouver Canucks,3,Nashville Predators,4
2018-12-13,Dallas Stars,2,San Jose Sharks,3
2018-12-13,Toronto Maple Leafs,1,Tampa Bay Lightning,4
2018-12-13,Edmonton Oilers,4,Winnipeg Jets,5
2018-12-14,Washington Capitals,6,Carolina Hurricanes,5
2018-12-14,Winnipeg Jets,4,Chicago Blackhawks,3
2018-12-14,Ottawa Senators,4,Detroit Red Wings,2
2018-12-14,Philadelphia Flyers,1,Edmonton Oilers,4
2018-12-14,Vegas Golden Knights,4,New Jersey Devils,5
2018-12-14,Arizona Coyotes,4,New York Rangers,3
2018-12-14,Boston Bruins,3,Pittsburgh Penguins,5
2018-12-14,Colorado Avalanche,3,St. Louis Blues,4
2018-12-15,Anaheim Ducks,2,Columbus Blue Jackets,1
2018-12-15,Dallas Stars,4,Colorado Avalanche,6
2018-12-15,Toronto Maple Leafs,3,Florida Panthers,4
2018-12-15,Calgary Flames,2,Minnesota Wild,1
2018-12-15,Ottawa Senators,2,Montreal Canadiens,5
2018-12-15,New Jersey Devils,1,Nashville Predators,2
2018-12-15,Detroit Red Wings,3,New York Islanders,4
2018-12-15,Los Angeles Kings,3,Pittsburgh Penguins,4
2018-12-15,Philadelphia Flyers,1,Vancouver Canucks,5
2018-12-15,Buffalo Sabres,3,Washington Capitals,4
2018-12-16,Buffalo Sabres,4,Boston Bruins,2
2018-12-16,Arizona Coyotes,0,Carolina Hurricanes,3
2018-12-16,San Jose Sharks,7,Chicago Blackhawks,3
2018-12-16,Vegas Golden Knights,4,New York Rangers,3
2018-12-16,Calgary Flames,7,St. Louis Blues,2
2018-12-16,Edmonton Oilers,2,Vancouver Canucks,4
2018-12-16,Tampa Bay Lightning,4,Winnipeg Jets,5
2018-12-17,Vegas Golden Knights,0,Columbus Blue Jackets,1
2018-12-17,New York Islanders,4,Colorado Avalanche,1
2018-12-17,Boston Bruins,4,Montreal Canadiens,0
2018-12-17,Nashville Predators,3,Ottawa Senators,4
2018-12-17,Anaheim Ducks,4,Pittsburgh Penguins,2
2018-12-18,New York Islanders,3,Arizona Coyotes,1
2018-12-18,Florida Panthers,5,Buffalo Sabres,2
2018-12-18,Nashville Predators,1,Chicago Blackhawks,2
2018-12-18,Calgary Flames,0,Dallas Stars,2
2018-12-18,St. Louis Blues,4,Edmonton Oilers,1
2018-12-18,Winnipeg Jets,1,Los Angeles Kings,4
2018-12-18,San Jose Sharks,4,Minnesota Wild,0
2018-12-18,Toronto Maple Leafs,7,New Jersey Devils,2
2018-12-18,Anaheim Ducks,1,New York Rangers,3
2018-12-18,Detroit Red Wings,2,Philadelphia Flyers,3
2018-12-18,Tampa Bay Lightning,5,Vancouver Canucks,2
2018-12-19,Montreal Canadiens,1,Colorado Avalanche,2
2018-12-19,Pittsburgh Penguins,2,Washington Capitals,1
2018-12-20,Montreal Canadiens,2,Arizona Coyotes,1
2018-12-20,Anaheim Ducks,1,Boston Bruins,3
2018-12-20,Detroit Red Wings,4,Carolina Hurricanes,1
2018-12-20,New Jersey Devils,1,Columbus Blue Jackets,2
2018-12-20,Tampa Bay Lightning,5,Calgary Flames,4
2018-12-20,Chicago Blackhawks,5,Dallas Stars,2
2018-12-20,Nashville Predators,1,Philadelphia Flyers,2
2018-12-20,Minnesota Wild,1,Pittsburgh Penguins,2
2018-12-20,Winnipeg Jets,5,San Jose Sharks,3
2018-12-20,Florida Panthers,1,Toronto Maple Leafs,6
2018-12-20,St. Louis Blues,1,Vancouver Canucks,5
2018-12-20,New York Islanders,2,Vegas Golden Knights,4
2018-12-21,Chicago Blackhawks,2,Colorado Avalanche,1
2018-12-21,Ottawa Senators,2,New Jersey Devils,5
2018-12-21,Buffalo Sabres,1,Washington Capitals,2
2018-12-22,Colorado Avalanche,4,Arizona Coyotes,6
2018-12-22,Nashville Predators,2,Boston Bruins,5
2018-12-22,Anaheim Ducks,0,Buffalo Sabres,3
2018-12-22,Pittsburgh Penguins,3,Carolina Hurricanes,0
2018-12-22,St. Louis Blues,3,Calgary Flames,1
2018-12-22,Florida Panthers,2,Detroit Red Wings,1
2018-12-22,Tampa Bay Lightning,6,Edmonton Oilers,3
2018-12-22,Dallas Stars,2,Minnesota Wild,1
2018-12-22,Washington Capitals,4,Ottawa Senators,0
2018-12-22,Columbus Blue Jackets,4,Philadelphia Flyers,3
2018-12-22,Los Angeles Kings,3,San Jose Sharks,2
2018-12-22,New York Rangers,3,Toronto Maple Leafs,5
2018-12-22,Winnipeg Jets,1,Vancouver Canucks,0
2018-12-22,Montreal Canadiens,4,Vegas Golden Knights,3
2018-12-23,Boston Bruins,3,Carolina Hurricanes,5
2018-12-23,Florida Panthers,6,Chicago Blackhawks,3
2018-12-23,New York Islanders,3,Dallas Stars,1
2018-12-23,Columbus Blue Jackets,3,New Jersey Devils,0
2018-12-23,Philadelphia Flyers,3,New York Rangers,2
2018-12-23,Arizona Coyotes,4,San Jose Sharks,3
2018-12-23,Detroit Red Wings,4,Toronto Maple Leafs,5
2018-12-23,Los Angeles Kings,4,Vegas Golden Knights,3
2018-12-27,New Jersey Devils,5,Boston Bruins,2
2018-12-27,Minnesota Wild,2,Chicago Blackhawks,5
2018-12-27,Vancouver Canucks,4,Edmonton Oilers,2
2018-12-27,Arizona Coyotes,1,Los Angeles Kings,2
2018-12-27,Dallas Stars,2,Nashville Predators,0
2018-12-27,Columbus Blue Jackets,4,New York Rangers,3
2018-12-27,Detroit Red Wings,2,Pittsburgh Penguins,5
2018-12-27,Anaheim Ducks,2,San Jose Sharks,4
2018-12-27,Buffalo Sabres,1,St. Louis Blues,4
2018-12-27,Philadelphia Flyers,5,Tampa Bay Lightning,6
2018-12-27,Colorado Avalanche,1,Vegas Golden Knights,2
2018-12-27,Calgary Flames,4,Winnipeg Jets,1
2018-12-27,Carolina Hurricanes,1,Washington Capitals,3
2018-12-28,Toronto Maple Leafs,4,Columbus Blue Jackets,2
2018-12-28,Montreal Canadiens,5,Florida Panthers,3
2018-12-28,Ottawa Senators,3,New York Islanders,6
2018-12-29,Arizona Coyotes,5,Anaheim Ducks,4
2018-12-29,Boston Bruins,3,Buffalo Sabres,2
2018-12-29,Vancouver Canucks,3,Calgary Flames,2
2018-12-29,Chicago Blackhawks,3,Colorado Avalanche,2
2018-12-29,Detroit Red Wings,1,Dallas Stars,5
2018-12-29,San Jose Sharks,7,Edmonton Oilers,4
2018-12-29,Philadelphia Flyers,1,Florida Panthers,2
2018-12-29,Vegas Golden Knights,4,Los Angeles Kings,1
2018-12-29,Carolina Hurricanes,0,New Jersey Devils,2
2018-12-29,New York Rangers,4,Nashville Predators,3
2018-12-29,Washington Capitals,3,Ottawa Senators,2
2018-12-29,Pittsburgh Penguins,6,St. Louis Blues,1
2018-12-29,Montreal Canadiens,5,Tampa Bay Lightning,6
2018-12-29,New York Islanders,4,Toronto Maple Leafs,0
2018-12-29,Minnesota Wild,3,Winnipeg Jets,1
2018-12-30,Vegas Golden Knights,5,Arizona Coyotes,1
2018-12-31,Tampa Bay Lightning,2,Anaheim Ducks,1
2018-12-31,New York Islanders,3,Buffalo Sabres,1
2018-12-31,Philadelphia Flyers,1,Carolina Hurricanes,3
2018-12-31,Ottawa Senators,3,Columbus Blue Jackets,6
2018-12-31,San Jose Sharks,5,Calgary Flames,8
2018-12-31,Los Angeles Kings,3,Colorado Avalanche,2
2018-12-31,Montreal Canadiens,3,Dallas Stars,2
2018-12-31,Florida Panthers,4,Detroit Red Wings,3
2018-12-31,Winnipeg Jets,4,Edmonton Oilers,3
2018-12-31,Pittsburgh Penguins,3,Minnesota Wild,2
2018-12-31,Vancouver Canucks,0,New Jersey Devils,4
2018-12-31,New York Rangers,2,St. Louis Blues,1
2018-12-31,Nashville Predators,6,Washington Capitals,3
2019-01-01,Boston Bruins,4,Chicago Blackhawks,2
2019-01-01,Philadelphia Flyers,0,Nashville Predators,4
2019-01-01,Los Angeles Kings,0,Vegas Golden Knights,2
2019-01-02,Edmonton Oilers,3,Arizona Coyotes,1
2019-01-02,San Jose Sharks,5,Colorado Avalanche,4
2019-01-02,New Jersey Devils,4,Dallas Stars,5
2019-01-02,Calgary Flames,5,Detroit Red Wings,3
2019-01-02,Pittsburgh Penguins,7,New York Rangers,2
2019-01-02,Vancouver Canucks,4,Ottawa Senators,3
2019-01-03,Calgary Flames,4,Boston Bruins,6
2019-01-03,Florida Panthers,3,Buffalo Sabres,4
2019-01-03,Tampa Bay Lightning,6,Los Angeles Kings,2
2019-01-03,Vancouver Canucks,0,Montreal Canadiens,2
2019-01-03,Chicago Blackhawks,2,New York Islanders,3
2019-01-03,Carolina Hurricanes,5,Philadelphia Flyers,3
2019-01-03,Washington Capitals,2,St. Louis Blues,5
2019-01-03,Minnesota Wild,4,Toronto Maple Leafs,3
2019-01-04,Vegas Golden Knights,3,Anaheim Ducks,2
2019-01-04,New Jersey Devils,3,Arizona Coyotes,2
2019-01-04,Columbus Blue Jackets,2,Carolina Hurricanes,4
2019-01-04,New York Rangers,1,Colorado Avalanche,6
2019-01-04,Washington Capitals,1,Dallas Stars,2
2019-01-04,Nashville Predators,3,Detroit Red Wings,4
2019-01-04,Winnipeg Jets,0,Pittsburgh Penguins,4
2019-01-05,Buffalo Sabres,1,Boston Bruins,2
2019-01-05,Columbus Blue Jackets,4,Florida Panthers,3
2019-01-05,Edmonton Oilers,0,Los Angeles Kings,4
2019-01-05,Nashville Predators,4,Montreal Canadiens,1
2019-01-05,Minnesota Wild,4,Ottawa Senators,3
2019-01-05,Calgary Flames,3,Philadelphia Flyers,2
2019-01-05,Tampa Bay Lightning,2,San Jose Sharks,5
2019-01-05,New York Islanders,4,St. Louis Blues,3
2019-01-05,Vancouver Canucks,0,Toronto Maple Leafs,5
2019-01-06,Edmonton Oilers,4,Anaheim Ducks,0
2019-01-06,New York Rangers,0,Arizona Coyotes,5
2019-01-06,Washington Capitals,3,Detroit Red Wings,2
2019-01-06,Carolina Hurricanes,5,Ottawa Senators,4
2019-01-06,Chicago Blackhawks,5,Pittsburgh Penguins,3
2019-01-06,New Jersey Devils,2,Vegas Golden Knights,3
2019-01-06,Dallas Stars,1,Winnipeg Jets,5
2019-01-07,Calgary Flames,4,Chicago Blackhawks,3
2019-01-07,Minnesota Wild,1,Montreal Canadiens,0
2019-01-07,St. Louis Blues,3,Philadelphia Flyers,0
2019-01-07,Los Angeles Kings,1,San Jose Sharks,3
2019-01-07,Nashville Predators,4,Toronto Maple Leafs,0
2019-01-08,Minnesota Wild,0,Boston Bruins,4
2019-01-08,New Jersey Devils,1,Buffalo Sabres,5
2019-01-08,Montreal Canadiens,3,Detroit Red Wings,2
2019-01-08,Carolina Hurricanes,4,New York Islanders,3
2019-01-08,Florida Panthers,1,Pittsburgh Penguins,5
2019-01-08,Edmonton Oilers,2,San Jose Sharks,7
2019-01-08,Dallas Stars,3,St. Louis Blues,1
2019-01-08,Columbus Blue Jackets,0,Tampa Bay Lightning,4
2019-01-08,New York Rangers,2,Vegas Golden Knights,4
2019-01-08,Colorado Avalanche,4,Winnipeg Jets,7
2019-01-08,Philadelphia Flyers,3,Washington Capitals,5
2019-01-09,Ottawa Senators,2,Anaheim Ducks,1
2019-01-09,Colorado Avalanche,3,Calgary Flames,5
2019-01-09,Nashville Predators,4,Chicago Blackhawks,3
2019-01-10,Washington Capitals,4,Boston Bruins,2
2019-01-10,Nashville Predators,3,Columbus Blue Jackets,4
2019-01-10,Florida Panthers,3,Edmonton Oilers,4
2019-01-10,Ottawa Senators,4,Los Angeles Kings,1
2019-01-10,Winnipeg Jets,2,Minnesota Wild,3
2019-01-10,Toronto Maple Leafs,4,New Jersey Devils,2
2019-01-10,New York Islanders,4,New York Rangers,3
2019-01-10,Dallas Stars,1,Philadelphia Flyers,2
2019-01-10,Montreal Canadiens,1,St. Louis Blues,4
2019-01-10,Carolina Hurricanes,1,Tampa Bay Lightning,3
2019-01-10,Arizona Coyotes,4,Vancouver Canucks,3
2019-01-10,San Jose Sharks,3,Vegas Golden Knights,2
2019-01-11,Pittsburgh Penguins,7,Anaheim Ducks,4
2019-01-11,Buffalo Sabres,3,Carolina Hurricanes,4
2019-01-11,Florida Panthers,3,Calgary Flames,4
2019-01-11,Detroit Red Wings,2,Winnipeg Jets,4
2019-01-12,Tampa Bay Lightning,5,Buffalo Sabres,3
2019-01-12,Vegas Golden Knights,4,Chicago Blackhawks,3
2019-01-12,St. Louis Blues,3,Dallas Stars,1
2019-01-12,Arizona Coyotes,3,Edmonton Oilers,2
2019-01-12,Pittsburgh Penguins,2,Los Angeles Kings,5
2019-01-12,Detroit Red Wings,5,Minnesota Wild,2
2019-01-12,Colorado Avalanche,0,Montreal Canadiens,3
2019-01-12,Philadelphia Flyers,2,New Jersey Devils,3
2019-01-12,New York Rangers,2,New York Islanders,1
2019-01-12,Ottawa Senators,1,San Jose Sharks,4
2019-01-12,Boston Bruins,3,Toronto Maple Leafs,2
2019-01-12,Columbus Blue Jackets,2,Washington Capitals,1
2019-01-13,Nashville Predators,3,Carolina Hurricanes,6
2019-01-13,New York Rangers,5,Columbus Blue Jackets,7
2019-01-13,Arizona Coyotes,1,Calgary Flames,7
2019-01-13,Tampa Bay Lightning,1,New York Islanders,5
2019-01-13,Florida Panthers,1,Vancouver Canucks,5
2019-01-13,Anaheim Ducks,3,Winnipeg Jets,4
2019-01-14,Montreal Canadiens,3,Boston Bruins,2
2019-01-14,Buffalo Sabres,2,Edmonton Oilers,7
2019-01-14,Chicago Blackhawks,5,New Jersey Devils,8
2019-01-14,Minnesota Wild,4,Philadelphia Flyers,7
2019-01-14,Colorado Avalanche,6,Toronto Maple Leafs,3
2019-01-14,St. Louis Blues,4,Washington Capitals,1
2019-01-15,New Jersey Devils,1,Columbus Blue Jackets,4
2019-01-15,Tampa Bay Lightning,2,Dallas Stars,0
2019-01-15,Anaheim Ducks,1,Detroit Red Wings,3
2019-01-15,Los Angeles Kings,2,Minnesota Wild,3
2019-01-15,Florida Panthers,1,Montreal Canadiens,5
2019-01-15,Washington Capitals,2,Nashville Predators,7
2019-01-15,St. Louis Blues,1,New York Islanders,2
2019-01-15,Carolina Hurricanes,2,New York Rangers,6
2019-01-15,Pittsburgh Penguins,2,San Jose Sharks,5
2019-01-15,Vegas Golden Knights,1,Winnipeg Jets,4
2019-01-16,San Jose Sharks,3,Arizona Coyotes,6
2019-01-16,Buffalo Sabres,4,Calgary Flames,3
2019-01-16,Colorado Avalanche,2,Ottawa Senators,5
2019-01-16,Boston Bruins,3,Philadelphia Flyers,4
2019-01-16,Edmonton Oilers,3,Vancouver Canucks,2
2019-01-17,St. Louis Blues,2,Boston Bruins,5
2019-01-17,Los Angeles Kings,2,Dallas Stars,1
2019-01-17,Anaheim Ducks,3,Minnesota Wild,0
2019-01-17,Winnipeg Jets,5,Nashville Predators,1
2019-01-17,New Jersey Devils,1,New York Islanders,4
2019-01-17,Chicago Blackhawks,3,New York Rangers,4
2019-01-17,Toronto Maple Leafs,4,Tampa Bay Lightning,2
2019-01-18,Pittsburgh Penguins,3,Arizona Coyotes,2
2019-01-18,Ottawa Senators,4,Carolina Hurricanes,1
2019-01-18,Montreal Canadiens,4,Columbus Blue Jackets,1
2019-01-18,Detroit Red Wings,4,Calgary Flames,6
2019-01-18,Toronto Maple Leafs,1,Florida Panthers,3
2019-01-18,Buffalo Sabres,3,Vancouver Canucks,4
2019-01-18,New York Islanders,2,Washington Capitals,0
2019-01-19,New York Rangers,3,Boston Bruins,2
2019-01-19,Los Angeles Kings,1,Colorado Avalanche,7
2019-01-19,Winnipeg Jets,2,Dallas Stars,4
2019-01-19,Calgary Flames,5,Edmonton Oilers,2
2019-01-19,Columbus Blue Jackets,1,Minnesota Wild,2
2019-01-19,Philadelphia Flyers,5,Montreal Canadiens,2
2019-01-19,Anaheim Ducks,3,New Jersey Devils,2
2019-01-19,Florida Panthers,4,Nashville Predators,2
2019-01-19,Ottawa Senators,2,St. Louis Blues,3
2019-01-19,San Jose Sharks,3,Tampa Bay Lightning,6
2019-01-19,Pittsburgh Penguins,3,Vegas Golden Knights,7
2019-01-20,Washington Capitals,5,Chicago Blackhawks,8
2019-01-20,Carolina Hurricanes,7,Edmonton Oilers,4
2019-01-20,Anaheim Ducks,0,New York Islanders,3
2019-01-20,Arizona Coyotes,4,Toronto Maple Leafs,2
2019-01-20,Detroit Red Wings,2,Vancouver Canucks,3
2019-01-21,Nashville Predators,4,Colorado Avalanche,1
2019-01-21,San Jose Sharks,2,Florida Panthers,6
2019-01-21,St. Louis Blues,3,Los Angeles Kings,4
2019-01-21,Minnesota Wild,4,Vegas Golden Knights,2
2019-01-22,Carolina Hurricanes,2,Calgary Flames,3
2019-01-22,New York Islanders,2,Chicago Blackhawks,3
2019-01-22,Detroit Red Wings,3,Edmonton Oilers,2
2019-01-22,Arizona Coyotes,3,Ottawa Senators,2
2019-01-22,San Jose Sharks,7,Washington Capitals,6
2019-01-23,St. Louis Blues,5,Anaheim Ducks,1
2019-01-23,Minnesota Wild,5,Colorado Avalanche,2
2019-01-23,Arizona Coyotes,1,Montreal Canadiens,2
2019-01-23,Washington Capitals,3,Toronto Maple Leafs,6
2019-01-23,Carolina Hurricanes,5,Vancouver Canucks,2
2019-01-23,Nashville Predators,2,Vegas Golden Knights,1
2019-01-28,Winnipeg Jets,1,Philadelphia Flyers,3
2019-01-28,New Jersey Devils,6,Pittsburgh Penguins,3
2019-01-29,Winnipeg Jets,4,Boston Bruins,3
2019-01-29,Buffalo Sabres,5,Columbus Blue Jackets,4
2019-01-29,Philadelphia Flyers,1,New York Rangers,0
2019-01-30,Buffalo Sabres,0,Dallas Stars,1
2019-01-30,Tampa Bay Lightning,2,Pittsburgh Penguins,4
2019-01-31,Philadelphia Flyers,3,Boston Bruins,2
2019-01-31,New York Rangers,4,New Jersey Devils,3
2019-01-31,Columbus Blue Jackets,3,Winnipeg Jets,4
2019-02-01,Chicago Blackhawks,7,Buffalo Sabres,3
2019-02-01,Vegas Golden Knights,2,Carolina Hurricanes,5
2019-02-01,Minnesota Wild,1,Dallas Stars,3
2019-02-01,Toronto Maple Leafs,2,Detroit Red Wings,3
2019-02-01,Nashville Predators,4,Florida Panthers,1
2019-02-01,Tampa Bay Lightning,1,New York Islanders,0
2019-02-01,Ottawa Senators,3,Pittsburgh Penguins,5
2019-02-01,Calgary Flames,3,Washington Capitals,4
2019-02-02,St. Louis Blues,4,Columbus Blue Jackets,2
2019-02-02,Vancouver Canucks,5,Colorado Avalanche,1
2019-02-02,Vegas Golden Knights,1,Florida Panthers,3
2019-02-02,Chicago Blackhawks,4,Minnesota Wild,3
2019-02-02,New Jersey Devils,3,Montreal Canadiens,2
2019-02-02,Dallas Stars,3,Nashville Predators,1
2019-02-02,Los Angeles Kings,2,New York Islanders,4
2019-02-02,Tampa Bay Lightning,3,New York Rangers,2
2019-02-02,Detroit Red Wings,2,Ottawa Senators,0
2019-02-02,Edmonton Oilers,4,Philadelphia Flyers,5
2019-02-02,Arizona Coyotes,2,San Jose Sharks,3
2019-02-02,Pittsburgh Penguins,2,Toronto Maple Leafs,3
2019-02-02,Anaheim Ducks,3,Winnipeg Jets,9
2019-02-03,Calgary Flames,4,Carolina Hurricanes,3
2019-02-03,Edmonton Oilers,3,Montreal Canadiens,4
2019-02-03,Boston Bruins,1,Washington Capitals,0
2019-02-04,Arizona Coyotes,4,Dallas Stars,5
2019-02-04,Los Angeles Kings,4,New York Rangers,3
2019-02-04,Vancouver Canucks,1,Philadelphia Flyers,2
2019-02-04,Anaheim Ducks,1,Toronto Maple Leafs,6
2019-02-05,New York Islanders,1,Boston Bruins,3
2019-02-05,Minnesota Wild,4,Buffalo Sabres,5
2019-02-05,Columbus Blue Jackets,6,Colorado Avalanche,3
2019-02-05,Chicago Blackhawks,6,Edmonton Oilers,2
2019-02-05,St. Louis Blues,3,Florida Panthers,2
2019-02-05,Anaheim Ducks,1,Montreal Canadiens,4
2019-02-05,Los Angeles Kings,5,New Jersey Devils,1
2019-02-05,Arizona Coyotes,2,Nashville Predators,5
2019-02-05,Carolina Hurricanes,4,Pittsburgh Penguins,0
2019-02-05,Vegas Golden Knights,3,Tampa Bay Lightning,2
2019-02-05,San Jose Sharks,3,Winnipeg Jets,2
2019-02-05,Vancouver Canucks,2,Washington Capitals,3
2019-02-06,Boston Bruins,3,New York Rangers,4
2019-02-06,Ottawa Senators,4,Toronto Maple Leafs,5
2019-02-07,Columbus Blue Jackets,4,Arizona Coyotes,2
2019-02-07,Carolina Hurricanes,6,Buffalo Sabres,5
2019-02-07,San Jose Sharks,5,Calgary Flames,2
2019-02-07,Vancouver Canucks,3,Chicago Blackhawks,4
2019-02-07,Vegas Golden Knights,4,Detroit Red Wings,3
2019-02-07,Pittsburgh Penguins,2,Florida Panthers,3
2019-02-07,Edmonton Oilers,4,Minnesota Wild,1
2019-02-07,Winnipeg Jets,2,Montreal Canadiens,5
2019-02-07,New York Islanders,2,New Jersey Devils,1
2019-02-07,Dallas Stars,2,Nashville Predators,3
2019-02-07,Anaheim Ducks,0,Ottawa Senators,4
2019-02-07,Los Angeles Kings,3,Philadelphia Flyers,2
2019-02-07,St. Louis Blues,1,Tampa Bay Lightning,0
2019-02-07,Colorado Avalanche,3,Washington Capitals,4
2019-02-08,Carolina Hurricanes,3,New York Rangers,0
2019-02-09,Dallas Stars,2,Arizona Coyotes,3
2019-02-09,Los Angeles Kings,4,Boston Bruins,5
2019-02-09,Detroit Red Wings,1,Buffalo Sabres,3
2019-02-09,San Jose Sharks,5,Edmonton Oilers,2
2019-02-09,Toronto Maple Leafs,4,Montreal Canadiens,3
2019-02-09,Minnesota Wild,4,New Jersey Devils,2
2019-02-09,Colorado Avalanche,3,New York Islanders,4
2019-02-09,Winnipeg Jets,2,Ottawa Senators,5
2019-02-09,Anaheim Ducks,2,Philadelphia Flyers,6
2019-02-09,Nashville Predators,2,St. Louis Blues,3
2019-02-09,Pittsburgh Penguins,4,Tampa Bay Lightning,5
2019-02-09,Calgary Flames,3,Vancouver Canucks,4
2019-02-09,Columbus Blue Jackets,4,Vegas Golden Knights,3
2019-02-09,Florida Panthers,5,Washington Capitals,4
2019-02-10,Colorado Avalanche,1,Boston Bruins,2
2019-02-10,Winnipeg Jets,3,Buffalo Sabres,1
2019-02-10,Detroit Red Wings,2,Chicago Blackhawks,5
2019-02-10,Tampa Bay Lightning,5,Florida Panthers,2
2019-02-10,Carolina Hurricanes,2,New Jersey Devils,3
2019-02-10,St. Louis Blues,5,Nashville Predators,4
2019-02-10,Minnesota Wild,1,New York Islanders,2
2019-02-10,Toronto Maple Leafs,1,New York Rangers,4
2019-02-11,Pittsburgh Penguins,4,Philadelphia Flyers,1
2019-02-11,San Jose Sharks,7,Vancouver Canucks,2
2019-02-11,Los Angeles Kings,4,Washington Capitals,6
2019-02-12,Chicago Blackhawks,3,Boston Bruins,6
2019-02-12,New York Islanders,1,Buffalo Sabres,3
2019-02-12,Washington Capitals,0,Columbus Blue Jackets,3
2019-02-12,Toronto Maple Leafs,5,Colorado Avalanche,2
2019-02-12,Dallas Stars,3,Florida Panthers,0
2019-02-12,Philadelphia Flyers,5,Minnesota Wild,4
2019-02-12,Detroit Red Wings,3,Nashville Predators,2
2019-02-12,Carolina Hurricanes,4,Ottawa Senators,1
2019-02-12,New Jersey Devils,3,St. Louis Blues,8
2019-02-12,Calgary Flames,3,Tampa Bay Lightning,6
2019-02-12,Arizona Coyotes,5,Vegas Golden Knights,2
2019-02-12,New York Rangers,3,Winnipeg Jets,4
2019-02-13,Vancouver Canucks,0,Anaheim Ducks,1
2019-02-13,Edmonton Oilers,1,Pittsburgh Penguins,3
2019-02-14,St. Louis Blues,4,Arizona Coyotes,0
2019-02-14,New York Islanders,3,Columbus Blue Jackets,0
2019-02-14,New Jersey Devils,2,Chicago Blackhawks,5
2019-02-14,Ottawa Senators,2,Detroit Red Wings,3
2019-02-14,Calgary Flames,2,Florida Panthers,3
2019-02-14,Vancouver Canucks,4,Los Angeles Kings,3
2019-02-14,Montreal Canadiens,1,Nashville Predators,3
2019-02-14,Washington Capitals,5,San Jose Sharks,1
2019-02-14,Dallas Stars,0,Tampa Bay Lightning,6
2019-02-14,Toronto Maple Leafs,6,Vegas Golden Knights,3
2019-02-14,Colorado Avalanche,4,Winnipeg Jets,1
2019-02-15,Boston Bruins,3,Anaheim Ducks,0
2019-02-15,New York Rangers,6,Buffalo Sabres,2
2019-02-15,Edmonton Oilers,1,Carolina Hurricanes,3
2019-02-15,New Jersey Devils,5,Minnesota Wild,4
2019-02-16,Toronto Maple Leafs,0,Arizona Coyotes,2
2019-02-16,Dallas Stars,0,Carolina Hurricanes,3
2019-02-16,Columbus Blue Jackets,5,Chicago Blackhawks,2
2019-02-16,St. Louis Blues,3,Colorado Avalanche,0
2019-02-16,Boston Bruins,4,Los Angeles Kings,2
2019-02-16,Edmonton Oilers,2,New York Islanders,5
2019-02-16,Detroit Red Wings,5,Philadelphia Flyers,6
2019-02-16,Calgary Flames,5,Pittsburgh Penguins,4
2019-02-16,Vancouver Canucks,2,San Jose Sharks,3
2019-02-16,Montreal Canadiens,0,Tampa Bay Lightning,3
2019-02-16,Nashville Predators,1,Vegas Golden Knights,5
2019-02-16,Ottawa Senators,4,Winnipeg Jets,3
2019-02-17,Washington Capitals,2,Anaheim Ducks,5
2019-02-17,Philadelphia Flyers,3,Detroit Red Wings,1
2019-02-17,Montreal Canadiens,3,Florida Panthers,6
2019-02-17,St. Louis Blues,4,Minnesota Wild,0
2019-02-17,Buffalo Sabres,1,New Jersey Devils,4
2019-02-17,New York Rangers,5,Pittsburgh Penguins,6
2019-02-18,Tampa Bay Lightning,5,Columbus Blue Jackets,1
2019-02-18,Arizona Coyotes,2,Calgary Flames,5
2019-02-18,Ottawa Senators,7,Chicago Blackhawks,8
2019-02-18,Vegas Golden Knights,0,Colorado Avalanche,3
2019-02-18,Washington Capitals,3,Los Angeles Kings,2
2019-02-18,Boston Bruins,6,San Jose Sharks,5
2019-02-19,New York Rangers,2,Carolina Hurricanes,1
2019-02-19,Nashville Predators,5,Dallas Stars,3
2019-02-19,Arizona Coyotes,3,Edmonton Oilers,2
2019-02-19,Buffalo Sabres,2,Florida Panthers,4
2019-02-19,Anaheim Ducks,4,Minnesota Wild,0
